Cavité : reseau de la combe aux puaires
Nom du fichier : E:\Speleo\Samoens\2017-06_Samoens\Combe-Puaires\zone-CP\Reseau-CP\old\reseauCP2017.cav
Date de calcul des données : 27/10/2017
Date du dernier relevé topo effectué : 23/02/1900
Nom Galerie	Galerie de rattachement	Point de rattach	1er point	dernier point	Nombre de points	point le plus haut	Z plus haut	point le plus bas	Z plus bas	dénivellée	longueur
Galerie n° 46	Galerie n° 35	30.29	44.1	44.11	11	44.11	1965.3      	44.1	1947.6	17.7	46.5	33.8
Galerie n° 50	Galerie n° 46	44.11	46.12	46.15	4	46.12	1963.3      	46.15	1955.9	7.5	12.5	7.7
Galerie n° 47	Galerie n° 50	46.15	30.40	30.37	5	30.40	1949.0      	30.32	1939.2	9.9	37.3	29.4
Galerie n° 49	Galerie n° 47	30.40	2008-X-1	2008-X-14	14	2008-X-13	1964.1      	2008-X-3	1952.7	11.3	90.3	86.2
Galerie n° 59	Galerie n° 49	2008-X-5	2008-X-15	2008-X-18	4	2008-X-15	1952.7      	2008-X-16	1949.8	2.9	16.7	13.9
Galerie n° 60	Galerie n° 59	2008-X-16	2008-X-19	2008-X-23	5	2008-X-19	1949.7      	2008-X-23	1946.0	3.7	17.9	16.9
Galerie n° 61	Galerie n° 60	2008-X-20	2008-X-24	2008-X-25	3	2008-X-24	1947.0      	2008-X-23	1946.0	1.0	7.0	6.8
Galerie n° 62	Galerie n° 60	2008-X-23	2008-X-27	2008-X-31	5	2008-X-27	1945.8      	2008-X-30	1937.1	8.7	17.9	12.0
Galerie n° 56	Galerie n° 62	2008-X-31	2008-X-32	2008.07.6	13	2008-X-40	1940.5      	2008-X-33	1934.6	5.9	44.2	41.4
Galerie n° 48	Galerie n° 56	2008.07.6	2008.07.4	2008.07.1	6	30.32	1939.2      	2008.07.5	1935.1	4.1	19.7	18.8
Galerie n° 55	Galerie n° 48	2008.07.3	2008.07.7	2008.07.19	13	2008.07.16	1934.5      	2008.07.10	1918.8	15.7	72.4	53.4
Galerie n° 73	Galerie n° 46	44.11	47.1	47.9	9	47.6	1982.5      	47.1	1969.9	12.6	56.7	45.8
Galerie n° 74	Galerie n° 73	47.3	47.10	47.11	2	47.11	1987.4      	47.10	1985.4	2.0	13.0	10.2
Galerie n° 57	Galerie n° 35	2008.S.0	40.3	40.0	4	40.3	1933.9      	40.0	1905.2	28.7	52.4	26.6
Galerie n° 58	Galerie n° 35	2008.S.0	40.5	40.25	21	40.25	1992.5      	40.5	1936.7	55.8	320.1	306.3
Galerie n° 63	Galerie n° 58	40.17	41.2.4	41.2.0	5	41.2.4	1975.7      	41.2.1	1968.3	7.3	24.9	22.5
Galerie n° 65	Galerie n° 58	40.23	45.0	45.9	10	45.7	2004.8      	45.0	1986.3	18.5	60.2	52.0
Galerie n° 64	Galerie n° 58	40.23	40.26	Xa-2014-15	10	Xa-2014-15	2010.8      	40.26	1988.3	22.5	93.9	88.3
Galerie n° 66	Galerie n° 64	40.31	40.35	40.36	2	40.36	1998.7      	40.35	1993.6	5.1	13.8	12.0
Galerie n° 68	Galerie n° 66	40.35	40.37	40.47	12	40.48	2011.3      	40.37	1997.4	14.0	104.9	95.9
Galerie n° 69	Galerie n° 68	40.38	41.1.1	41.1.5	5	41.1.5	2005.1      	41.1.1	1999.4	5.8	19.1	16.8
Galerie n° 70	Galerie n° 68	40.44	40.49	40.54	6	40.49	2002.6      	40.52	1994.4	8.2	41.7	36.7
Galerie n° 71	Galerie n° 70	40.50	53.0	53.8	9	53.0	1997.4      	53.8	1977.8	19.6	78.8	73.7
Galerie n° 81	Galerie n° 71	53.7	53.9	53.13	5	53.9	1974.2      	53.13	1964.5	9.8	32.0	28.3
Galerie n° 72	Galerie n° 70	40.52	40.55	49.0	13	49.2	2013.5      	40.57	1993.0	20.5	98.8	82.5
Galerie n° 77	Galerie n° 72	49.3	52.8	52.0	9	52.5	2040.8      	52.8	2013.6	27.1	68.8	43.5
Galerie n° 67	Galerie n° 64	40.34	Xa-2014-13	Xa-2014-12	4	Xa-2014-12	2033.8      	Xa-2014-13	2011.0	22.8	44.5	20.6
Galerie n° 83	Galerie n° 67	Xa-2014-10	Xa-2014-9	Xa-2014-7	4	Xa-2014-7	2031.3      	Xa-2014-9	2021.2	10.1	24.2	14.5
Galerie n° 84	Galerie n° 83	Xa-2014-6	Xa-2014-5	Xa-2014-1	6	Xa-2014-3	2038.6      	Xa-2014-5	2033.1	5.5	26.1	21.7
Galerie n° 37	Galerie n° 13	16.26	50.5	51.18	10	51.18	1895.6      	50.5	1867.9	27.7	65.1	52.2
Galerie n° 78	Galerie n° 37	51.17	51.16	51.12	6	51.12	1900.8      	51.16	1891.2	9.5	34.0	32.0
Galerie n° 79	Galerie n° 78	51.11	51.10	51.4	9	51.4	1907.9      	51.10	1898.3	9.7	45.6	43.3
Galerie n° 80	Galerie n° 79	51.2	51.0	51.1estimee	4	51.1estimee	1908.3      	51.0double	1907.8	0.5	12.1	11.9
Galerie n° 4	Galerie n° 9	29.1	25.6	25.1	9	20.26	1955.8      	25.8	1940.0	15.8	97.0	93.3
Galerie n° 6	Galerie n° 4	25.1	26.1	26.8	9	26.1	1948.0      	20.47	1940.9	7.1	41.4	36.0
Galerie n° 5	Galerie n° 3	20.34	21.01	21.46	46	21.46	2017.3      	21.01	1961.9	55.4	417.9	401.9
Galerie n° 7	Galerie n° 5	21.34	22.1	28.26	59	28.26	2094.9      	22.2	2002.8	92.1	364.1	333.6
Galerie n° 8	Galerie n° 7	22.21	23.1	23.4	4	23.4	2042.7      	23.2	2040.4	2.4	16.7	16.2
Total reseau de la combe aux puaires	Surface	CP16			1221	CP16'	2133.8      	13.33	1770.5	363.3	9435.2	7288.2
